companyCode,news_stress,entity_stress_fundamental
SAFTPL,0.2666,15.02
SAHSPPL,0.7773,25.06
SAICPL,0.3858,10.62
SAISERV,0.4383,10.67
SAISIPP,0.0816,27.38
SAITPL,0.3247,16.72
SAKCON,0.4613,15.42
SAKRIL,0.3455,20.05
SALAS,0.4256,9.64
SALSGN,0.4772,60.0
SAMALI,0.2355,7.97
SAMILI,0.2224,36.38
SAMNSAI,0.3492,9.9
SAMONO,0.2825,36.12
SAMPIST,0.3838,11.03
SAMYN,0.3124,12.3
SANDLA,0.4124,7.6
SANTMH,0.444,21.08
SAPAAT,0.4874,35.74
SAPOPI,0.4425,21.62
SARSPL,0.4934,22.85
SARWSPL,0.5041,86.47
SASAJWL,0.5264,73.33
SASIASM,0.3317,12.43
SASIPL57,0.3298,9.86
SASKSM,0.1971,11.9
SASOML,0.388,11.03
SASPLD,0.442,19.74
SASPPRL,0.4274,13.97
SASRCL,0.3239,24.23
SATCON,0.5206,34.58
SAUDIL,0.5171,86.55
SAVC,0.6577,39.0
SBBIPI,0.2918,17.63
SBEOPL,0.462,12.32
SBETPL,0.4784,10.95
SBICSL,0.4305,12.54
SBICSPL,0.4016,10.93
SBISRL,0.6633,11.4
SBLJCO,0.4959,10.67
SBNDPL,0.4986,25.36
SC,0.5978,15.03
SCAEPI,0.8298,13.67
SCAGPL,0.599,11.13
SCCI,0.4955,86.96
SCCMPL,0.5095,12.35
SCDTBL,0.3786,18.32
SCEIPL,0.3806,14.32
SCFMIPL,0.3083,9.16
SCIPLTD,0.3598,10.81
SCMGPL,0.3857,10.38
SCPL,0.4405,36.35
SCRECC,0.4561,39.65
SCSIPL,0.322,20.48
SCSPEL,0.5132,16.12
SCSTPLTD,0.3919,86.99
SCTSPL,0.178,11.2
SCYIPL,0.4935,11.37
SDCMPU,0.3768,20.03
SDCT,0.3662,38.91
SDDL,0.4022,9.18
SDERPL,0.5785,60.0
SDHF,0.4611,10.43
SDLAT,0.4082,12.37
SDMAIP,0.4815,31.83
SDMASL,0.2562,9.81
SDMFL,0.4236,60.0
SDPLD,0.4565,25.76
SDRIPL,0.5354,12.36
SDSTX,0.4677,12.27
SDTCWPL,0.4202,23.81
SDTHPS,0.5379,35.95
SDVAS,0.6468,13.21
SDWPIL,0.4501,15.65
SDYCCY,0.6044,12.95
SDYCPL,0.4864,33.9
SEBIPI,0.1307,17.19
SECIPAL,0.4622,16.94
SEGLCL,0.4342,12.27
SEHMPL,0.5,12.41
SEINII,0.465,16.22
SEINPI,0.4311,13.45
SEISPGL,0.498,7.04
SEITCPL,0.4403,13.21
SEL,0.0842,13.58
SELENG,0.3271,14.0
SELVPL,0.4627,6.93
SEPATL,0.6393,8.63
SEPPLD,0.4451,19.21
SERHSC,0.4402,23.19
SERMSTCL,0.3405,8.75
SESGOA,0.4003,20.19
SESIRI,0.6359,7.5
SESPPI,0.4737,7.33
SESTLI,0.7278,10.03
SEWLHL,0.6765,87.11
SEXPT,0.1488,20.02
SFAAL,0.4248,10.04
SFGHCPL,0.4458,11.59
SFINUP,0.413,11.64
SFISPL,0.9253,15.18
SFNDG,0.6167,36.02
SFSPTL,0.4473,40.0
SGCIPI,0.3877,23.55
SGDT,0.4841,42.03
SGEARI,0.4239,37.2
SGIHPL,0.077,13.0
SGITPA,0.3372,32.82
SGJES,0.6456,35.0
SGNCCPL,0.506,41.2
SGNT,0.4515,7.96
SGRI,0.5262,33.84
SGYGIPL,0.5276,14.26
SGYSKID,0.2108,15.6
SHAILS,0.3386,10.78
SHASEAF,0.2096,14.2
SHBACB,0.0476,24.01
SHBASE,0.5404,33.36
SHBULT44,0.3721,11.56
SHCCPL,0.4549,13.45
SHCJWL,0.4784,11.85
SHDIRO,0.3302,16.8
SHENLS,0.0472,11.06
SHGAPL,0.448,19.74
SHIDL,0.3855,13.11
SHIHPL,0.3952,43.64
SHINSL,0.4878,14.99
SHJEER,0.0613,10.97
SHKBPL,0.4984,14.19
SHKEKU,0.2355,16.53
SHNCSPL,0.4001,21.51
SHNIRO,0.0407,23.46
SHPASL,0.4966,32.84
SHPEAS,0.3652,11.68
SHPMPLD,0.3054,11.58
SHRCEME,0.3981,9.45
SHRDIGV,0.3717,10.02
SHREPR,0.392,11.96
SHRI,0.7078,60.0
SHRPRPL,0.4214,10.22
SHRTOW,0.4872,60.0
SHRTRAN,0.4015,18.94
SHSCCO,0.2005,12.78
SHSKS,0.328,23.79
SHSL,0.3985,10.91
SHSOSAK,0.3488,20.31
SHSPG,0.4669,14.3
SHSSKL,0.4764,36.67
SHSTL,0.4517,37.77
SHSTPI,0.0409,12.44
SHSURI,0.3201,31.6
SHSVCPL,0.4953,26.12
SHTCS,0.5352,17.9
SHVCPL,0.396,86.92
SHVEPL,0.3732,10.24
SICCPI,0.3759,21.73
SICRPL,0.3347,18.33
SIDBILT,0.3582,10.42
SIDEIL,0.4353,17.15
SIGNPL,0.4895,60.0
SIHEPI,0.4849,35.41
SIINSL,0.3421,11.46
SIMCAST,0.2388,23.23
SIMERO,0.0609,13.66
SIMMALT,0.4909,14.96
SINDPL,0.2918,14.12
SINFRAP,0.5041,29.81
SINHOTPL,0.4905,60.0
SIPLSI,0.3411,11.31
SIPVTLTD,0.5026,10.95
SIRPPL,0.7298,18.53
SISCSPL,0.384,8.48
SISECP,0.4892,39.3
SISIL,0.3626,12.4
SISUML,0.5082,86.37
SITSL,0.4326,12.91
SIUDPL,0.3305,15.96
SJBFDL,0.3333,60.0
SJCTL,0.0759,11.16
SJPGBCT,0.0616,13.18
SJSPPL,0.337,10.95
SJTMPL,0.0659,18.06
SJYCI,0.3758,13.46
SKAERL,0.3623,16.55
SKAFL,0.5303,13.31
SKBADP,0.5931,84.21
SKBAF,0.5718,29.08
SKECN,0.5218,14.53
SKICBL,0.4733,10.03
SKIFTX,0.3557,14.76
SKINDLTD,0.5926,20.49
SKIPL,0.3861,10.25
SKKFA,0.6017,87.02
SKLFPL,0.3937,10.92
SKPPLE,0.4161,10.75
SKREML,0.5565,13.36
SKRIMSL,0.4705,17.15
SKSCSPL,0.0395,19.83
SKSMIP,0.4574,32.71
SKSNBL,0.5258,85.21
SKSNMLD,0.4108,11.5
SKTEIP,0.3424,28.98
SKTSMPL,0.476,11.69
SKYH,0.4639,9.71
SLAPL,0.25,11.66
SLEIPL,0.4223,10.88
SLGBPL,0.4144,13.65
SLJSXL,0.4896,43.66
SLMIIPPL,0.4908,37.42
SLPEPL,0.4759,41.07
SLSMLTD,0.3899,40.15
SLSMRL,0.5049,35.39
SLSPL,0.0584,17.62
SLTAPPL,0.0591,13.03
SMACPD,0.2901,14.68
SMATENGPL,0.4271,12.11
SMBFPPL,0.5049,85.53
SMCAPL,0.2708,12.96
SMEBSR,0.4422,13.31
SMFPPVL,0.4922,60.0
SMFSL,0.674,16.58
SMHIPL,0.4863,35.26
SMIDBPL,0.2685,11.23
SMISLTD,0.4999,86.55
SMKTSSKL,0.482,39.3
SMPRRL,0.3915,67.02
SMSMPSS,0.4939,37.73
SMSSPL20,0.4108,10.06
SMSWLTD,0.5121,85.21
SMTIPL,0.5537,9.27
SMTLTD,0.4319,12.06
SNAIL,0.286,17.12
SNBGL,0.447,10.95
SNGRES,0.3856,24.19
SNIISC,0.3708,11.32
SNNGLR,0.519,84.8
SNOSLTD,0.4536,36.31
SNRCM,0.4658,38.98
SNRME,0.0745,11.65
SNROIPL,0.4719,11.53
SNSEPL,0.2878,13.91
SNSPL,0.4039,14.96
SNSSK,0.3239,28.56
SNSTGL,0.2671,12.8
SNTCIL,0.3228,12.27
SNTEGPL,0.479,13.06
SNTGD,0.453,27.33
SNTI,0.0807,11.57
SNTPL,0.393,10.07
SNYE,0.3662,11.5
SOADFP,0.597,12.14
SOBL,0.3458,11.72
SOCTSL,0.3808,13.0
SOENPI,0.3977,9.07
SOINIM,0.3316,14.77
SOINRM,0.5109,23.17
SOLEXE,0.5248,13.05
SONAPO,0.3459,11.14
SOPIPRL,0.4379,12.08
SOPLSP,0.0598,10.74
SOSTLI,0.4576,14.22
SOTRLI,0.3719,14.23
SOVPRL,0.2751,40.16
SPACDPL,0.8441,30.94
SPACTP,0.3418,13.93
SPAFG,0.3743,11.96
SPARSH,0.394,11.49
SPCNCG,0.4677,11.92
SPCNEP,0.4462,12.47
SPEHPL,0.3742,12.66
SPELIL,0.3264,12.32
SPESPL,0.3679,8.89
SPFIPI,0.3703,14.24
SPILTD,0.6331,60.0
SPIOHE,0.4344,32.36
SPLIPL,0.3331,12.19
SPLTIPL,0.0387,10.63
SPMBPL,0.2898,13.0
SPMCIL,0.45,12.87
SPRTC,0.3779,12.95
SPSSPL,0.342,10.19
SPSSRML,0.3743,18.16
SPUHPL,0.3397,10.02
SQPFPL,0.4145,24.13
SRAKAPL,0.5067,37.51
SRBPVL,0.4988,10.45
SRDMAL,0.2133,10.35
SRDS,0.6466,12.19
SRGBFX,0.413,11.02
SRGMEL,0.3974,14.65
SRHIPL,0.4648,36.7
SRIADHI,0.5328,86.12
SRIANN,0.168,10.67
SRIENL,0.3539,13.42
SRIFEE,0.34,22.99
SRIFPL,0.3131,13.27
SRIPLTD,0.4058,27.86
SRJRCN,0.3948,30.75
SRJSL,0.458,11.94
SRKAML,0.5015,26.62
SRKATE28,0.329,26.0
SRKDSPL,0.3517,12.73
SRLFPL,0.4918,27.22
SRLIFPL,0.1695,11.25
SRLSPL,0.5326,60.0
SRMHFL,0.4015,11.07
SRMIAM,0.4892,38.52
SRPEPRL,0.4267,11.06
SRPKPL,0.5315,60.0
SRPVLD,0.4332,19.83
SRREPL,0.4553,36.26
SRRPL,0.4621,39.7
SRSCCO,0.8706,10.42
SRTEIX,0.2657,10.92
SRVBL,0.4315,16.91
SRVCPL57,0.449,15.75
SRVISHL,0.2609,25.52
SSABFL,0.473,10.58
SSAMPAL,0.2879,13.58
SSANTG,0.5425,16.22
SSAPAL,0.4973,10.19
SSBUSS,0.46,22.93
SSDMRL,0.4171,20.56
SSEVEL,0.5148,24.33
SSFLTD,0.4161,18.22
SSGIL,0.4435,10.95
SSHPRL,0.4962,22.37
SSIGESPL,0.3637,14.06
SSIPTL,0.3695,13.99
SSLEL,0.4364,73.82
SSNAIP,0.3281,12.31
SSNIESIPL,0.4089,86.26
SSNTCPL,0.5215,12.75
SSPCIPL,0.6935,18.74
SSPLSPL,0.4068,13.13
SSPLSS8,0.9182,7.36
SSPPLI,0.4325,60.0
SSPPVTL,0.4394,13.62
SSPSPAL,0.3879,11.63
SSPTPV,0.406,13.84
SSRBR,0.4947,38.21
SSRRRA,0.465,42.16
SSSFPL,0.4178,22.15
SSSHLI,0.4827,10.69
SSSSKAR,0.5442,86.37
SSSSSM,0.4458,13.7
SSSTCP,0.4193,17.88
SSTNKIL,0.4891,31.93
SSVIPL,0.3379,21.38
SSVT,0.4987,15.36
SSWSE,0.2835,13.2
SSYFSPL,0.3837,11.24
STAGL,0.4909,13.16
STAIL,0.384,10.35
STAPTL,0.2672,25.38
STCECPL,0.4323,12.6
STCRIL,0.5185,11.46
STDPVL,0.406,24.32
STELC,0.3628,14.52
STENP,0.4177,13.89
STFILI,0.4404,20.0
STGSPL,0.2916,20.66
STGTTL,0.3078,14.22
STKI,0.4184,10.54
STMSPL6,0.5622,23.02
STMWPL,0.2807,11.31
STOVPL,0.3856,13.8
STPISPL,0.3924,13.76
STPLS12,0.1855,12.84
STROPTECL,0.6048,15.11
STSUPP,0.5189,35.52
STUET,0.3835,37.93
STXPSLD,0.2994,12.86
STYATS,0.4176,12.47
SUBPTL,0.3762,20.59
SUBUIN,0.4244,13.24
SUCLDL,0.3549,14.51
SUFAPL,0.5865,13.12
SUFIPR,0.4463,20.84
SUHOLI,0.5198,36.19
SUINPL39,0.4112,23.98
SUISRL,0.4832,26.11
SUKUAL,0.5237,36.92
SUKUAR,0.4917,28.31
SUMITAP,0.0393,11.99
SUMSRL,0.4529,27.07
SUMTSPL,0.4981,86.99
SUNDFIN,0.4268,11.01
SUNIRON,0.394,11.01
SUNMUTF,0.4497,14.05
SUNRN,0.4013,11.06
SUNWIPL,0.3921,10.12
SUPL,0.2023,13.49
SUPPAR,0.468,16.44
SUPREME,0.6021,9.87
SUPRL,0.4337,6.75
SUREL,0.5177,86.96
SURIIU,0.4828,20.11
SUSFSP,0.4205,13.3
SUSILTD,0.348,13.83
SUSTELT,0.5667,13.28
SUSTPL66,0.2247,13.12
SUTIPL,0.4154,10.72
SUTRPL,0.3665,9.72
SUVITI,0.4911,60.0
SVDPLTD,0.4213,10.15
SVDSL,0.4992,86.26
SVHFPL,0.6141,19.66
SVJMT,0.764,85.53
SVKAVSPL,0.4816,85.96
SVKEC,0.2132,15.84
SVMAZL,0.399,21.14
SVMOPL,0.4665,11.61
SVMPPL,0.5906,86.62
SVNIS,0.4216,10.53
SVNSHPL,0.4864,86.62
SVPLD,0.0728,12.86
SVTXHP,0.4533,19.75
SVXCMPS,0.4184,12.07
SWENPL,0.4847,14.34
SWKNBL,0.4704,86.8
SWLETP,0.4445,12.01
SWNS,0.3623,9.9
SWPEPL,0.2446,13.22
SWPNPL,0.3902,15.61
SWRI,0.4234,9.65
SWTKC,0.3915,85.96
SWTKCI,0.5005,86.26
SYCXIPL,0.1599,14.07
SYGIPL,0.4619,16.74
SYGSSNS,0.3908,11.4
SYGTML,0.5527,12.9
SYJWPL,0.4896,60.0
SYLIPI,0.5363,17.91
SYLLTD,0.5071,60.0
SYPHLI,0.5235,10.69
SYPL,0.4014,10.47
TADKFLT,0.4094,12.14
TADSTL,0.3953,11.59
TAMPVL,0.4939,60.0
TAMVPL,0.4888,27.13
TATIFP,0.5407,9.99
TATIL,0.535,11.44
TATINTL,0.4386,12.01
TATYZACPL,0.3952,17.21
TBACPL,0.6503,24.6
TBDIPL,0.4536,35.4
TBEGL,0.4245,18.69
TBESPL,0.332,14.17
TCGUIHL,0.4181,14.96
TCHFL,0.4402,14.71
TCPLMTD,0.5073,40.29
TCPLP,0.4611,9.81
TCSGSPL,0.2964,13.05
TCTEL,0.4885,14.85
TCTTRL,0.4897,24.44
TEALTE,0.3651,10.63
TECCOMP,0.3585,11.12
TECSL,0.4872,86.74
TEGIND,0.4763,19.34
TEJKB,0.5065,86.92
TELCO,0.4621,15.06
TENEPL,0.3149,38.35
TGKTM,0.5046,23.12
TGSPEL,0.4624,23.5
THANMUN,0.4788,10.22
THBEIN,0.3477,16.98
THBSPL,0.2911,9.12
THERMAX,0.4263,10.85
THFIPL,0.2833,12.19
THFOPL,0.493,60.0
THNPCT,0.8734,13.03
THOCOOK,0.2131,10.18
THPS,0.3571,13.18
THSMPL,0.526,10.38
THVC,0.4983,25.05
TIBEL,0.3785,8.28
TICPPV,0.5022,37.5
TILPLM,0.6259,18.26
TIMIL,0.4446,17.65
TINAIN,0.3922,13.98
TIPLT27,0.489,60.0
TJML,0.5261,86.62
TKMML,0.5924,10.55
TKSACSPL,0.375,12.4
TKTRIND,0.4953,47.19
TLSDPL,0.4687,16.95
TLSDY,0.3637,9.88
TLTEG,0.3471,14.63
TMCOVL,0.4168,12.66
TMLPCIL,0.3328,11.85
TMPPCL,0.4022,12.85
TNDGS,0.4578,23.62
TNEST,0.4197,13.49
TNINLPL,0.4298,11.65
TNSSKN,0.3912,32.77
TNTMCL,0.4625,24.8
TOESLT,0.45,11.47
TOGAPL,0.3675,11.95
TOINTR,0.5691,10.33
TPCODL,0.3868,12.14
TPHWPL,0.4853,10.85
TPLPSL,0.3471,8.04
TPNODL,0.2888,10.89
TPREL,0.3588,10.7
TPSALI,0.3762,14.47
TPSOLI,0.3415,14.08
TPTFSPL,0.4477,12.49
TPVASL,0.3498,13.27
TPVCPL,0.4643,23.88
TPVNATL,0.4193,9.75
TRAINDU,0.4693,11.6
TRALRL,0.2712,16.75
TRANSILOX,0.3228,9.45
TRCLSLD,0.2392,15.99
TRCMPL,0.4519,15.09
TRGRPL,0.4605,12.87
TRHF,0.5449,84.21
TRICL,0.3875,11.48
TRLILI,0.2139,12.43
TRMGPL,0.4438,10.33
TRMOPL27,0.4964,12.87
TRNTFRTPL,0.3453,19.44
TROCPL94,0.45,12.69
TRRPGL,0.363,11.34
TRSOPL55,0.4577,12.54
TRUEXI,0.493,32.13
TRUIOE,0.3585,12.9
TRVYLI,0.3682,8.84
TSCON,0.5438,19.13
TSOAFT,0.6322,10.39
TSTTI,0.3335,13.05
TTIPL,0.2773,10.94
TTKPRES,0.4025,8.25
TTPRL,0.546,13.24
TTTPL,0.4188,86.37
TURBIPL,0.2714,11.86
TURTPL,0.436,11.8
TVNH,0.4412,38.34
TYTFSIL,0.4712,10.03
TYZIXPL,0.3912,21.3
UBCTNPL,0.6232,19.35
UBTCSIPL,0.0394,10.9
UCHTDP,0.4945,60.0
UCIOMS,0.4263,18.43
UCONI,0.3835,13.71
UCSTL,0.1358,13.17
UDAIPL,0.5865,21.14
UDJGCT,0.0428,11.17
UDPBL,0.41,12.7
UDPOSL,0.0398,15.76
UDSVKR,0.3446,17.02
UEPTPL,0.3944,20.08
UFYT,0.4656,37.75
UHDINDLTD,0.3319,12.3
UICU,0.4132,15.36
UJATSPL,0.4284,12.21
UJLP,0.4959,60.0
UJPOPL,0.4504,6.36
ULDEPL,0.2885,12.62
UNAGCI,0.4863,16.59
UNCMIL,0.3985,16.12
UNFIAL,0.4339,13.35
UNGIPL,0.4371,11.8
UNIHOTELD,0.4917,12.87
UNMMPL,0.4737,60.0
UNOMPL,0.6498,30.49
UNPEFL,0.5017,10.3
UNPTIL,0.3239,11.85
UNQDFPL,0.5942,12.29
UNTIPL40,0.3926,24.13
UNUHIL,0.8791,16.66
UPLD,0.5269,60.0
UPSPL,0.4229,26.24
UQANSP,0.4778,30.13
USCPL,0.3878,22.73
USUSVLT,0.3788,9.23
UTCL,0.4607,13.1
UTSULI,0.4709,86.26
UTTEPI,0.3884,10.88
UVCRUV,0.482,36.18
VACPPL,0.3409,8.3
VAHFPL,0.3487,17.39
VAICIP,0.6163,18.62
VAPPLI,0.1174,12.23
VARIND,0.4051,60.0
VASENGG,0.3214,12.61
VASFOU,0.5371,26.4
VAYCL,0.3465,10.04
VBVGMS,0.647,12.69
VCDCHW,0.4948,8.11
VCFDPL,0.514,11.82
VDBPPLTD,0.4536,38.05
VDCMPUL,0.2519,9.81
VDEWPL,0.4098,22.97
VDHBPL,0.4375,11.56
VDKJ,0.4884,13.26
VDSMLTD,0.4074,9.68
VDYW,0.3952,13.21
VEATPL,0.5239,15.7
VEGEIEP,0.0677,10.79
VEGRLP,0.4771,31.8
VEGRSL,0.3014,7.3
VEGSUL,0.2906,7.42
VENPPL,0.4528,23.27
VEXPPL,0.4428,24.02
VFCPL,0.5242,39.29
VFFSTA,0.4507,12.39
VGACPL,0.3701,9.3
VHDAUO,0.5182,10.93
VHTCSPL,0.2071,20.55
VIBPTL,0.5105,16.55
VICAUT,0.4477,60.0
VICPEL,0.407,10.67
VIEIPL,0.5013,16.11
VIGDPL,0.5195,60.0
VIIFPL,0.2082,12.67
VIJAUT,0.3396,19.95
VINEYC,0.404,24.65
VINOPL,0.3913,29.31
VINSKL,0.3501,33.39
VINSPL,0.5162,13.99
VIPPEL,0.3551,27.83
VIRSYI,0.3838,11.52
VISEL,0.204,16.91
VISPPI,0.3616,24.01
VITDPI,0.3376,13.63
VITPL,0.2625,10.92
VIVPH,0.672,38.11
VJIDPL,0.527,12.83
VKMIPL,0.0397,16.41
VMNOSPL,0.3405,9.73
VMRFJRM,0.5323,85.21
VMRGTPL,0.3503,10.98
VNCSTDTS,0.0391,12.58
VODOPL,0.4417,11.07
VPDCLTD,0.2595,21.44
VPJF,0.0666,12.83
VPKMPL,0.5762,10.88
VPSCPL,0.4003,13.05
VRCCIPL,0.2283,11.77
VREML,0.3301,20.5
VRETPL,0.8164,63.15
VRJPI,0.3747,47.08
VRSPIPL,0.9221,17.61
VRTEPL,0.4423,28.1
VSCNC,0.497,84.8
VSCWL,0.6424,22.84
VSLAIPPPL,0.4516,22.29
VSNDPL,0.326,13.24
VSNDSHM,0.3377,9.96
VSNRPL,0.5478,34.56
VSSKLTD,0.3849,86.37
VSTHC,0.3587,11.55
VSTIPL,0.3127,21.81
VTCFPV,0.3465,15.65
VTDY,0.9304,9.93
VTML,0.3684,10.92
VVCNST,0.3655,13.8
VVFIDLD,0.4635,19.47
VVVSEOL,0.4183,11.44
VWDXPL,0.2948,9.6
VWILTD,0.5293,25.71
VWMSAE,0.2279,11.3
VWPL,0.1681,17.15
VYBHSPL,0.4957,85.77
WAIIPL,0.4842,65.94
WALTPL,0.3339,12.9
WAONPL,0.451,39.87
WAWIPL,0.3544,10.18
WBES,0.3102,12.11
WDLP,0.4349,11.81
WDSSLTD,0.4352,35.26
WEAPPL,0.3233,10.35
WEEJPL,0.351,60.0
WGDISPL,0.5099,30.75
WGSR,0.245,11.09
WHPRLI,0.4385,16.91
WICCPL,0.278,11.33
WILTD,0.3384,10.68
WLCMF,0.4856,39.02
WLPTP,0.1817,8.75
WMNHPJS,0.4528,13.58
WNEN,0.5391,25.66
WOFIPL,0.4014,12.72
WOREPL,0.7898,9.58
WSFPPL,0.289,8.92
WTIL,0.4034,11.42
WTNC,0.2296,10.64
WVDSBL,0.4512,38.46
WVID,0.4587,39.03
WVMSPL,0.4862,10.93
YABTPL,0.5839,12.62
YAPIPL,0.3944,9.41
YATEPL,0.3718,12.09
YEATPL,0.1433,9.79
YEMASE,0.3281,11.18
YEPRLI,0.4185,13.93
YOTSPL,0.4094,12.28
YSOI,0.2519,11.41
ZAIPL,0.397,39.29
ZCLC,0.4771,37.72
ZELEPL,0.2647,12.58
ZEOIDP,0.4091,9.77
ZLAQ,0.3654,25.67
ZLTI,0.4269,30.98
ZODCLOT,0.5317,23.01
ZOESAP,0.4337,38.7
ZOINPL52,0.3912,17.05
